customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
5287412,23865027,,287715,CHI LAI GROUP,4,,,2024-09-23 12:02:15+00:00,2024-09-25 13:44:21+00:00,19989986
717147,23865027,,17906,Thạch Thất Furniture Sài Gòn,4,,,2020-06-05 09:29:47+00:00,2020-06-10 13:23:34+00:00,3861854
14235042,23865027,,1533,Greenhome,1,,,2020-04-03 02:43:23+00:00,2020-04-10 16:10:08+00:00,3398688
14593240,23865027,,153141,GEEGEE FURNI,3,,,2021-06-02 09:59:01+00:00,2021-06-08 16:41:21+00:00,10342958
717147,23865027,,17906,Thạch Thất Furniture Sài Gòn,4,,,2020-11-24 01:02:37+00:00,,5885022
5207223,23865027,,79277,HỆ THỐNG SIÊU THỊ NHÀ XINH,3,,,2020-07-15 15:26:46+00:00,2020-07-22 07:32:50+00:00,4176997
14306327,23865027,,1533,Greenhome,2,,,2020-09-04 08:04:01+00:00,2020-09-06 16:53:01+00:00,4755973
15803070,23865027,,153141,GEEGEE FURNI,2,,,2020-12-18 04:11:27+00:00,2020-12-20 09:57:03+00:00,7691010
18309571,23865027,,153141,GEEGEE FURNI,1,,,2021-01-29 12:39:17+00:00,2021-02-03 19:34:45+00:00,7593085
14975168,23865027,,153141,GEEGEE FURNI,2,,,2020-11-26 02:31:12+00:00,2020-11-28 17:43:18+00:00,6349411
5304632,23865027,,17906,Thạch Thất Furniture Sài Gòn,2,,,2020-06-16 03:16:04+00:00,2020-06-17 13:07:35+00:00,3863922
1194341,23865027,,1533,Greenhome,2,,,2020-12-03 16:02:11+00:00,2020-12-05 11:37:14+00:00,6162826
6410720,23865027,,153141,GEEGEE FURNI,4,,,2020-11-03 01:50:07+00:00,2020-11-06 14:45:04+00:00,5522708
6521050,23865027,,1533,Greenhome,3,,,2020-09-23 23:50:28+00:00,2020-09-25 12:17:04+00:00,5198031
1889795,23865027,,1533,Greenhome,1,,,2020-04-27 00:28:03+00:00,2020-04-28 12:55:19+00:00,4688296
6982416,23865027,,1533,Greenhome,2,,,2020-08-22 16:55:14+00:00,2020-08-29 15:00:16+00:00,4819730
17665876,23865027,,1533,Greenhome,3,,,2020-09-09 09:22:04+00:00,2020-09-11 13:14:06+00:00,4817988
1993600,23865027,,1533,Greenhome,3,,,2020-09-02 03:55:39+00:00,2020-09-08 12:44:14+00:00,4815610
8521853,23865027,,1533,Greenhome,1,,,2020-08-02 20:44:47+00:00,2020-08-05 14:28:08+00:00,4717215
8338407,23865027,,1533,Greenhome,4,,,2020-08-19 14:25:47+00:00,2020-08-21 14:04:01+00:00,4650316
