customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
8650608,13758646,,53660,Nhà sách Fahasa,4,,,2022-12-13 10:23:31+00:00,2022-12-16 16:56:21+00:00,18448601
14718903,13758646,,53660,Nhà sách Fahasa,3,,,2023-10-09 05:20:33+00:00,2023-10-10 12:56:31+00:00,19604579
5560241,13758646,,53660,Nhà sách Fahasa,2,,,2020-09-09 02:52:00+00:00,2020-09-10 12:25:15+00:00,4801985
5241183,13758646,,1,Tiki Trading,1,,,2021-02-08 03:00:44+00:00,2021-02-18 13:45:07+00:00,7875621
1089340,13758646,,53660,Nhà sách Fahasa,4,,,2022-12-04 14:47:05+00:00,2022-12-05 12:10:31+00:00,18935148
22086802,13758646,,53660,Nhà sách Fahasa,3,,,2021-06-20 08:36:38+00:00,2021-06-22 16:26:02+00:00,10595665
768339,13758646,,53660,Nhà sách Fahasa,3,,,2020-09-09 13:40:11+00:00,2020-09-10 17:40:40+00:00,5980984
6585702,13758646,,1,Tiki Trading,1,,,2021-01-21 03:03:49+00:00,2021-01-26 11:29:40+00:00,7579831
6280264,13758646,,53660,Nhà sách Fahasa,3,,,2021-10-25 12:49:35+00:00,2021-10-27 10:25:58+00:00,12877911
64990,13758646,,53660,Nhà sách Fahasa,2,,,2021-07-18 10:47:23+00:00,2021-07-24 11:56:35+00:00,11448763
