id,name,price,short_description,description,rating_average,review_count,image_base_url,image_large_url,image_medium_url,image_small_url,image_thumbnail_url,stock,quantity_sold
274540947,There'S No Such Thing As An Easy Job,389000,"THÔNG TIN SÁCH Loại bìa: BÌa mềmSố trang: 416 Kích thước: 129x198x25 mmA woman walks into an employment agency and requests a job that requires no reading, no writing - and ideally, very little th...","THÔNG TIN SÁCH Loại bìa: BÌa mềm Số trang: 416 Kích thước: 129x198x25 mm A woman walks into an employment agency and requests a job that requires no reading, no writing - and ideally, very little thinking. She is sent to an office building where she is tasked with watching the hidden-camera feed of an author suspected of storing contraband goods. But observing someone for hours on end isn't so easy. How will she stay awake? When can she take delivery of her favourite brand of tea? And, perhaps more importantly - how did she find herself in this situation in the first place? Một người phụ nữ bước vào một cơ quan tuyển dụng và yêu cầu một công việc không cần đọc, không cần viết - và lý tưởng nhất là rất ít suy nghĩ. Cô được cử đến một tòa nhà văn phòng, nơi cô được giao nhiệm vụ theo dõi nguồn cấp dữ liệu camera ẩn của một tác giả bị nghi ngờ tàng trữ hàng lậu. Nhưng việc quan sát ai đó hàng giờ liền không phải là điều dễ dàng. Làm thế nào cô ấy sẽ tỉnh táo? Khi nào cô ấy có thể nhận được nhãn hiệu trà yêu thích của mình? Và, có lẽ quan trọng hơn - làm thế nào mà cô ấy lại rơi vào tình huống này ngay từ đầu? Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/31/d9/b3/3013bef55d9e1759c8109104f936db36.jpeg,https://salt.tikicdn.com/cache/w1200/ts/product/31/d9/b3/3013bef55d9e1759c8109104f936db36.jpeg,https://salt.tikicdn.com/cache/w300/ts/product/31/d9/b3/3013bef55d9e1759c8109104f936db36.jpeg,https://salt.tikicdn.com/cache/200x280/ts/product/31/d9/b3/3013bef55d9e1759c8109104f936db36.jpeg,https://salt.tikicdn.com/cache/200x280/ts/product/31/d9/b3/3013bef55d9e1759c8109104f936db36.jpeg,1000,0
274540497,I May Be Wrong,389000,"THÔNG TIN SÁCH Loại bìa: BÌa mềmSố trang: 256Kích thước: 198x129x25 mmWe like to think we can determine the path our life takes, but events rarely unfold the way we plan for or expect. In this int...","THÔNG TIN SÁCH Loại bìa: BÌa mềm Số trang: 256 Kích thước: 198x129x25 mm We like to think we can determine the path our life takes, but events rarely unfold the way we plan for or expect. In this international bestseller, former forest monk Björn Natthiko Lindeblad draws on his humbling journey towards navigating uncertainty – helping you, with kindness and good humour, to: - Let go of the small stuff - Accept the things you cannot control - Manage difficult emotions - Find stillness at busy times - Face yourself – and others – without judgment Infusing the everyday with heart and grace, this is a wise and soothing handbook for dealing with life's challenges. Chúng ta thích nghĩ rằng chúng ta có thể quyết định con đường mà cuộc đời mình sẽ đi, nhưng các sự kiện hiếm khi diễn ra theo cách chúng ta dự định hoặc mong đợi. Trong cuốn sách bán chạy nhất quốc tế này, cựu tu sĩ rừng Björn Natthiko Lindeblad đã kể lại hành trình khiêm tốn của mình nhằm điều hướng sự không chắc chắn – giúp đỡ bạn, với lòng tốt và sự hài hước, để: - Bỏ đi những điều nhỏ nhặt - Chấp nhận những điều bạn không thể kiểm soát - Quản lý những cảm xúc khó khăn - Tìm sự tĩnh lặng lúc bận rộn - Đối mặt với chính mình – và những người khác – mà không phán xét Truyền tải cuộc sống hàng ngày bằng trái tim và sự duyên dáng, đây là một cuốn sổ tay khôn ngoan và nhẹ nhàng để đối phó với những thử thách trong cuộc sống. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/1c/41/e3/de26ebd0dacee1ecabb85cad70f659ec.jpeg,https://salt.tikicdn.com/cache/w1200/ts/product/1c/41/e3/de26ebd0dacee1ecabb85cad70f659ec.jpeg,https://salt.tikicdn.com/cache/w300/ts/product/1c/41/e3/de26ebd0dacee1ecabb85cad70f659ec.jpeg,https://salt.tikicdn.com/cache/200x280/ts/product/1c/41/e3/de26ebd0dacee1ecabb85cad70f659ec.jpeg,https://salt.tikicdn.com/cache/200x280/ts/product/1c/41/e3/de26ebd0dacee1ecabb85cad70f659ec.jpeg,1000,0
274357372,Clean Tech Nation,750000,"Clean Tech NationFrom Ron Pernick and Clint Wilder, the authors of Clean Tech Revolution, comes the next definitive book on the Clean Tech industry. In Clean Tech Nation, they shine a light on the le...","Clean Tech Nation From Ron Pernick and Clint Wilder, the authors of Clean Tech Revolution , comes the next definitive book on the Clean Tech industry. In Clean Tech Nation , they shine a light on the leaders at the forefront of the growing movement. USA Today called Pernick and Wilder’s groundbreaking first book, “one of the few instances in this genre that shows the green movement not in heartstring terms but as economically profitable.” Clean Tech Nation expands on their original idea to provide concrete analysis on the efforts of the U.S. and other countries in this area, and provides a clear way forward for the U.S. so that it can lead the pack as it competes with the rest of the world. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/b5/7f/1f/e083313af6d7fe78b0e1e8b52190d193.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/b5/7f/1f/e083313af6d7fe78b0e1e8b52190d193.jpg,https://salt.tikicdn.com/cache/w300/ts/product/b5/7f/1f/e083313af6d7fe78b0e1e8b52190d193.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/b5/7f/1f/e083313af6d7fe78b0e1e8b52190d193.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/b5/7f/1f/e083313af6d7fe78b0e1e8b52190d193.jpg,1000,0
274142627,The Purpose Upgrade: Change Your Business To Save The World,469000,The Purpose Upgrade: Change Your Business To Save The WorldUnlock greater profits. Empower happier and more engaged staff. Foster loyalty and connection with customers. Save your  and the world. How?...,"The Purpose Upgrade: Change Your Business To Save The World Unlock greater profits. Empower happier and more engaged staff. Foster loyalty and connection with customers. Save your  and the world. How? It all starts with a Purpose Upgrade. History shows that hard times can lead to the greatest opportunities for renewal. The Purpose Upgrade will support readers in leading enterprises that thrive by solving our most important problems. It shows how businesses can create more compelling benefits for customers, build meaningful livelihoods for colleagues, and unlock superior returns for investors by 'repurposing' and revitalising the activities they engage in. Meet the social entrepreneur who repurposed the previously 'boring' trade in office supplies to fund micro-finance initiatives that reach millions of the people most exposed to poverty, so that 'even a bad day at the office saves lives'. Learn how the leaders of a coal-mining business repurposed their enterprise first as an industrial chemicals company and then more spectacularly as a sustainable living business, generating unprecedented shareholder returns by aligning their objectives with the United Nations Sustainable Development Goals. They are now changing the lives of smallholder farmers, re-directing the food system to a more sustainable model, and harnessing the power of the world's biggest brands to provide more nutritious food on a healthier planet. And, most importantly, discover a unique methodology that you can use to make a Purpose Upgrade an always-available event at any level of your own enterprise. There has never been a more urgent need to change our businesses to save the world or a more opportune time to change the world to save our businesses. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/ee/52/66/ee8749722868a6ee46c140c5444317d2.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/ee/52/66/ee8749722868a6ee46c140c5444317d2.jpg,https://salt.tikicdn.com/cache/w300/ts/product/ee/52/66/ee8749722868a6ee46c140c5444317d2.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/ee/52/66/ee8749722868a6ee46c140c5444317d2.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/ee/52/66/ee8749722868a6ee46c140c5444317d2.jpg,1000,0
274099908,Unconventional Wisdom: Adventures In The Surprisingly True,319000,Unconventional Wisdom: Adventures In The Surprisingly True The world can be an amazing place if you know the right questions to ask:How much does a ghost reduce a house's value? How are winemakers r...,"Unconventional Wisdom: Adventures In The Surprisingly True The world can be an amazing place if you know the right questions to ask: How much does a ghost reduce a house's value? How are winemakers responding to climate change? How much should you tip your Uber driver? Should your dog fear Easter more than fireworks? The keen minds of The Economist love to look beyond everyday appearances to find out what really makes things tick. In this latest collection of The Economist Explains, they have gathered the weirdest and most counter-intuitive answers they've found in their endless quest to explain our bizarre world. Take a peek at some Unconventional Wisdom - and pass it on! The world only gets more amazing when discoveries are shared. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/54/22/5b/c0f599fce716615c9c201d6cd5329e72.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/54/22/5b/c0f599fce716615c9c201d6cd5329e72.jpg,https://salt.tikicdn.com/cache/w300/ts/product/54/22/5b/c0f599fce716615c9c201d6cd5329e72.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/54/22/5b/c0f599fce716615c9c201d6cd5329e72.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/54/22/5b/c0f599fce716615c9c201d6cd5329e72.jpg,1000,0
273314261,The Infographic Guide For Entrepreneurs: A Visual Reference For Everything You Need To Know,329000,The Infographic Guide For Entrepreneurs: A Visual Reference For Everything You Need To KnowEverything you need to know about starting your own independent business—and earning big—through easy-to-und...,"The Infographic Guide For Entrepreneurs: A Visual Reference For Everything You Need To Know Everything you need to know about starting your own independent business—and earning big—through easy-to-understand infographics. Start your dream business, optimize your freelancing, and max out your earnings with this graphic guide to everything you need to know to work for yourself. The Infographic Guide for Entrepreneurs includes information on how to leverage your skills to earn money, how to apply for a business loan, how to keep track of your earnings and expenses—and much more. With clear and accessible infographics on topics such as “What Makes My Business Unique?”; “Sell Yourself Without Selling Out”; “Feast or Famine: How to Stay Afloat During Dry Spells”; and “Hiring Your Squad”, you’ll learn how easy it is to work for you! Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/f0/77/38/a817389fe0a107274163fde0a7ad9d30.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/f0/77/38/a817389fe0a107274163fde0a7ad9d30.jpg,https://salt.tikicdn.com/cache/w300/ts/product/f0/77/38/a817389fe0a107274163fde0a7ad9d30.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/f0/77/38/a817389fe0a107274163fde0a7ad9d30.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/f0/77/38/a817389fe0a107274163fde0a7ad9d30.jpg,1000,0
263246577,The Personal MBA 10th Anniversary Edition,399000,"The Personal MBA 10th Anniversary Edition The 10th anniversary edition of the bestselling foundational business training manual for ambitious readers, featuring new concepts and mental models: updat...","The Personal MBA 10th Anniversary Edition The 10th anniversary edition of the bestselling foundational business training manual for ambitious readers, featuring new concepts and mental models: updated, expanded, and revised. Many people assume they need to attend business school to learn how to build a successful business or advance in their career. That's not true. The vast majority of modern business practice requires little more than common sense, simple arithmetic, and knowledge of a few very important ideas and principles. The Personal MBA 10th Anniversary Edition provides a clear overview of the essentials of every major business topic: entrepreneurship, product development, marketing, sales, negotiation, accounting, finance, productivity, communication, psychology, leadership, systems design, analysis, and operations  in one comprehensive volume. Inside you'll learn concepts such as: The 5 Parts of Every Business: You can understand and improve any business, large or small, by focusing on five fundamental topics. The 12 Forms of Value : Products and services are only two of the twelve ways you can create value for your customers. 4 Methods to Increase Revenue: There are only four ways for a business to bring in more money. Do you know what they are? Business degrees are often a poor investment, but business skills are always useful, no matter how you acquire them. The Personal MBA will help you do great work, make good decisions, and take full advantage of your skills, abilities, and available opportunities--no matter what you do (or would like to do) for a living. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",5,1,https://salt.tikicdn.com/ts/product/01/56/3f/a858390806aed5be9b6912ed95c8829d.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/01/56/3f/a858390806aed5be9b6912ed95c8829d.jpg,https://salt.tikicdn.com/cache/w300/ts/product/01/56/3f/a858390806aed5be9b6912ed95c8829d.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/01/56/3f/a858390806aed5be9b6912ed95c8829d.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/01/56/3f/a858390806aed5be9b6912ed95c8829d.jpg,1000,1
259482442,Never Eat Alone,349000,"Cuốn sách kinh điển bán chạy nhất về sức mạnh của các mối quan hệ, được cập nhật với lời khuyên chuyên sâu để tạo kết nối trong thế giới kỹ thuật số.Bạn muốn thăng tiến trong cuộc sống? Leo lên nấc t...","Cuốn sách kinh điển bán chạy nhất về sức mạnh của các mối quan hệ, được cập nhật với lời khuyên chuyên sâu để tạo kết nối trong thế giới kỹ thuật số. Bạn muốn thăng tiến trong cuộc sống? Leo lên nấc thang thành công cá nhân? Nhà mạng bậc thầy Keith Ferrazzi tuyên bố rằng bí mật nằm ở việc tiếp cận với những người khác. Như Ferrazzi đã phát hiện ra khi còn nhỏ, điều làm nên sự khác biệt giữa những người cực kỳ thành công với những người khác là cách họ sử dụng sức mạnh của các mối quan hệ—để mọi người đều thắng. Trong Never Eat Alone, Ferrazzi đưa ra các bước cụ thể—và tư duy bên trong—anh ấy sử dụng để tiếp cận để kết nối với hàng nghìn đồng nghiệp, bạn bè và cộng sự trong danh sách liên hệ của mình, những người anh ấy đã giúp đỡ và những người đã giúp đỡ anh ấy. Và trong thời gian kể từ khi Never Eat Alone được xuất bản vào năm 2005, sự phát triển của mạng xã hội và các phong cách quản lý hợp tác, mới chỉ khiến lời khuyên của Ferrazzi trở nên cần thiết hơn đối với bất kỳ ai muốn thăng tiến trong kinh doanh. Là con trai của một công nhân luyện thép ở một thị trấn nhỏ và một phụ nữ dọn dẹp, Ferrazzi lần đầu tiên sử dụng khả năng đặc biệt của mình để kết nối với những người khác để mở đường đến Yale, bằng MBA của Harvard và một số vị trí điều hành hàng đầu. Chưa bước qua tuổi 30, anh ấy đã phát triển một mạng lưới các mối quan hệ trải dài từ hành lang quyền lực của Washington đến những ngôi sao hạng A của Hollywood, giúp anh ấy được vinh danh là một trong 40 Under 40 của Crain và được Davos World Economic chọn là Nhà lãnh đạo Toàn cầu cho Tương lai. Diễn đàn. Hình thức kết nối với thế giới xung quanh của Ferrazzi dựa trên sự hào phóng, giúp đỡ bạn bè kết nối với những người bạn khác. Ferrazzi phân biệt việc xây dựng mối quan hệ chân chính với sự vui vẻ thô thiển, tuyệt vọng thường gắn liền với “mạng lưới”. Sau đó, ông chắt lọc hệ thống tiếp cận mọi người của mình thành các nguyên tắc thực tế đã được chứng minh. Trong số đó: - Đừng ghi điểm: Không bao giờ chỉ đơn giản là đạt được điều bạn muốn. Đó là đạt được điều bạn muốn và đảm bảo rằng những người quan trọng với bạn cũng đạt được điều họ muốn. - “Ping” liên tục: Thông tin chi tiết về việc liên hệ với những người trong vòng liên hệ của bạn mọi lúc—không chỉ khi bạn cần thứ gì đó. - Đừng bao giờ đi ăn một mình: Động lực của địa vị là như nhau cho dù bạn đang làm việc tại một tập đoàn hay tham dự một sự kiện xã hội—“tàng hình” là một số phận tồi tệ hơn thất bại. Trở thành “Vua nội dung”: Cách sử dụng các trang truyền thông xã hội như LinkedIn, Twitter để tạo các kết nối có ý nghĩa, thu hút sự tham gia và tuyển chọn một mạng lưới những người có thể giúp bạn đạt được sở thích và mục tiêu của mình. Trong cuốn sách này, Ferrazzi vạch ra những chiến lược vượt thời gian được chia sẻ bởi những cá nhân có nhiều mối quan hệ nhất trên thế giới, từ Winston Churchill đến Bill Clinton cho đến Đức Đạt Lai Lạt Ma. Đầy ắp những lời khuyên cụ thể về cách xử lý sự từ chối, vượt qua những người gác cổng, trở thành “đặc công hội nghị” và hơn thế nữa, ấn bản mới này của Never Eat Alone sẽ vẫn là một tác phẩm kinh điển bên cạnh Đắc nhân tâm trong nhiều năm tới. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/e2/29/0c/1a8cfa1bc7d4da988f1f557f17e7d639.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/e2/29/0c/1a8cfa1bc7d4da988f1f557f17e7d639.jpg,https://salt.tikicdn.com/cache/w300/ts/product/e2/29/0c/1a8cfa1bc7d4da988f1f557f17e7d639.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/e2/29/0c/1a8cfa1bc7d4da988f1f557f17e7d639.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/e2/29/0c/1a8cfa1bc7d4da988f1f557f17e7d639.jpg,1000,0
129770963,"The 2-Hour Job Search, Second Edition: Using Technology to Get the Right Job Faster",243000,"Use the latest technology to target potential employers and secure the first interview--no matter your experience, education, or network--with these revised and updated tools and recommendations.“The...","Use the latest technology to target potential employers and secure the first interview--no matter your experience, education, or network--with these revised and updated tools and recommendations. “The most practical, stress-free guide ever written for finding a white-collar job.”—Dan Heath, coauthor of Switch and Made to Stick Technology has changed not only the way we do business, but also the way we look for work. The 2-Hour Job Search rejects laundry lists of conventional wisdom in favor of a streamlined job search approach that produces results quickly and efficiently. In three steps, creator Steve Dalton shows you how to select, prioritize, and make contact with potential employers so you can land that critical first interview. In this revised second edition, you'll find updated advice on how to efficiently surf online job postings, how to reach out to contacts at your dream workplace and when to follow up, and advice on using LinkedIn, Indeed, and Google to your best advantage. Dalton incorporates ideas from leading thinkers in behavioral economics, psychology, and game theory, as well as success stories from readers of the first edition. The 2-Hour Job Search method has proven so successful that it has been shared at schools across the globe and is a formal part of the curriculum for all first-year MBAs at Duke University. With this book, you'll learn how to make it work for you too. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/17/c1/3b/67d5c25fa098251c965ea27eceeca072.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/17/c1/3b/67d5c25fa098251c965ea27eceeca072.jpg,https://salt.tikicdn.com/cache/w300/ts/product/17/c1/3b/67d5c25fa098251c965ea27eceeca072.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/17/c1/3b/67d5c25fa098251c965ea27eceeca072.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/17/c1/3b/67d5c25fa098251c965ea27eceeca072.jpg,1000,0
24787548,In This Together: How Successful Women Support Each Other in Work and Life,489000,"Women worldwide are breaking their silence—coming forward against the men that have oppressed and abused them in the #MeToo movement. It’s an exciting, liberating moment time of female empowerment—but...","Women worldwide are breaking their silence—coming forward against the men that have oppressed and abused them in the #MeToo movement. It’s an exciting, liberating moment time of female empowerment—but now we have to relearn how to connect with each other. Instead of supporting each other through the challenges of a traditionally male-dominated working world, millions of women have experienced the polar opposite. Studies show that 30% of workplace bullies are female—employing tactics such as cyber bullying, verbal attacks, gossiping, and shunning to use against each other—and many women have garnered “mean girl” reputations as competitive and unsupportive in the workplace. Inside the galvanizing In This Together, 40 successful and eminent women from a wide range of fields show us how much we can achieve if we embrace our collective power and strength, instead of competing against each other—such as learning new skills to advance in our careers and ultimately earn more money, working to dramatically increase the number of women in leadership positions, and even recruiting men to take up workplace equality as their own impassioned cause. Empowering, stirring, and actionable, In This Together is an indispensable addition to every modern woman’s arsenal in our continued fight for the opportunities we deserve. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/e7/f0/21/58f9a908500b60191f1ba3b198aaa5f1.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/e7/f0/21/58f9a908500b60191f1ba3b198aaa5f1.jpg,https://salt.tikicdn.com/cache/w300/ts/product/e7/f0/21/58f9a908500b60191f1ba3b198aaa5f1.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/e7/f0/21/58f9a908500b60191f1ba3b198aaa5f1.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/e7/f0/21/58f9a908500b60191f1ba3b198aaa5f1.jpg,1000,0
