customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
8261142,7822767,,1,Tiki Trading,1,,,2021-04-24 15:16:02+00:00,2021-04-28 09:40:45+00:00,9395089
6148797,7822767,,12696,Blue Horizon Books,2,,,2023-05-08 02:30:52+00:00,2023-05-10 14:53:40+00:00,19179899
14451850,7822767,,12696,Blue Horizon Books,4,,,2023-07-03 05:56:14+00:00,2023-07-06 11:50:50+00:00,19368819
7529501,7822767,,12696,Blue Horizon Books,2,,,2023-03-03 02:52:41+00:00,2023-03-07 10:00:54+00:00,19023966
19554848,7822767,,1,Tiki Trading,1,,,2020-12-15 18:33:42+00:00,2020-12-16 16:36:23+00:00,6261176
23685728,7822767,,12696,Blue Horizon Books,3,,,2022-02-07 12:10:30+00:00,2022-02-11 10:56:25+00:00,15459972
13240700,7822767,,12696,Blue Horizon Books,4,,,2022-02-26 03:22:48+00:00,2022-03-01 09:59:26+00:00,15200465
336999,7822767,,1,Tiki Trading,1,,,2019-08-19 16:44:49+00:00,2019-08-22 14:01:57+00:00,2408423
8796616,7822767,,1,Tiki Trading,3,,,2021-02-26 03:36:18+00:00,2021-03-01 15:24:36+00:00,9195669
20204045,7822767,,1,Tiki Trading,3,,,2021-02-15 14:22:49+00:00,2021-02-18 15:06:02+00:00,7833317
187093,2245283,,1,Tiki Trading,3,,,2020-06-20 03:06:42+00:00,2020-06-26 13:56:17+00:00,3966671
16230064,2245283,,1,Tiki Trading,3,,,2021-03-08 06:23:08+00:00,2021-03-11 14:16:05+00:00,8542071
221814,2245283,,53660,Nhà sách Fahasa,1,,,2022-07-23 06:23:51+00:00,2022-07-25 08:56:20+00:00,17229253
8076747,2245283,,53660,Nhà sách Fahasa,4,,,2021-05-25 12:31:59+00:00,2021-05-31 15:26:01+00:00,10814136
10512291,2245283,,53660,Nhà sách Fahasa,3,,,2023-01-31 15:50:53+00:00,2023-02-01 13:25:42+00:00,18716302
768339,2245283,,53660,Nhà sách Fahasa,4,,,2021-02-26 15:01:27+00:00,2021-02-27 12:40:52+00:00,8067222
1306581,2245283,,53660,Nhà sách Fahasa,3,,,2022-08-13 13:16:17+00:00,2022-08-15 12:25:46+00:00,17422131
