customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
6296758,66229279,,1,Tiki Trading,3,,,2023-01-07 17:01:59+00:00,2023-01-10 16:30:41+00:00,18616738
6772102,66229279,,1,Tiki Trading,1,,,2022-12-14 13:57:36+00:00,2022-12-18 10:02:54+00:00,18553768
17103553,66229279,,1,Tiki Trading,3,,,2022-12-10 14:48:07+00:00,2022-12-11 09:23:23+00:00,18396476
18522536,66229279,,1,Tiki Trading,2,,,2022-04-04 11:53:43+00:00,2022-04-10 13:22:17+00:00,16514544
14588200,66229279,,1,Tiki Trading,1,,,2021-11-07 09:49:40+00:00,2021-11-08 13:23:40+00:00,13265175
6335769,66229279,,1,Tiki Trading,4,,,2021-04-25 16:05:53+00:00,2021-04-26 09:15:53+00:00,9433789
21828014,66229279,,1,Tiki Trading,3,,,2021-05-20 06:43:58+00:00,2021-05-20 15:24:51+00:00,10503010
5919973,66229279,,1,Tiki Trading,2,,,2021-01-24 06:15:25+00:00,2021-01-25 08:52:10+00:00,7234642
5085826,66229279,,1,Tiki Trading,2,,,2020-12-21 08:01:57+00:00,2020-12-22 12:12:08+00:00,6838771
13742242,66229279,,1,Tiki Trading,2,,,2020-11-28 14:54:41+00:00,2020-11-30 09:18:37+00:00,6027218
18930371,25203200,,53660,Nhà sách Fahasa,2,,,2020-11-11 07:53:32+00:00,2020-11-12 16:04:18+00:00,5576676
21143665,25203200,,1,Tiki Trading,2,,,2021-04-04 02:30:18+00:00,2021-04-08 12:39:04+00:00,8967085
604668,25203200,,1,Tiki Trading,1,,,2021-02-17 06:24:23+00:00,2021-02-18 11:53:53+00:00,9313434
11301177,25203200,,1,Tiki Trading,4,,,2021-02-12 14:52:21+00:00,2021-02-19 16:04:17+00:00,7824989
41130,25203200,,53660,Nhà sách Fahasa,2,,,2020-11-11 07:36:33+00:00,2020-11-13 11:41:30+00:00,7682089
1409456,25203200,,1,Tiki Trading,1,,,2020-10-09 02:09:53+00:00,2020-10-10 10:22:10+00:00,6249976
13232129,25203200,,53660,Nhà sách Fahasa,2,,,2021-11-09 02:17:22+00:00,2021-11-20 13:38:21+00:00,13328088
8008309,25203200,,1,Tiki Trading,2,,,2021-05-06 00:30:38+00:00,2021-05-10 15:04:11+00:00,9628293
17016016,25203200,,53660,Nhà sách Fahasa,2,,,2021-11-11 02:04:09+00:00,2021-11-17 15:38:23+00:00,13307482
26508840,25203200,,53660,Nhà sách Fahasa,1,,,2023-08-06 15:42:24+00:00,2023-08-09 10:10:28+00:00,19479270
8022102,25203200,,1,Tiki Trading,3,,,2021-03-09 08:46:28+00:00,2021-03-12 09:26:18+00:00,9298861
7350310,25203200,,1,Tiki Trading,1,,,2021-03-29 14:41:41+00:00,2021-04-03 17:17:16+00:00,8866004
6305544,25203200,,53660,Nhà sách Fahasa,2,,,2021-12-20 11:56:30+00:00,2021-12-22 15:11:45+00:00,13998917
13233096,25203200,,1,Tiki Trading,4,,,2021-09-21 04:56:00+00:00,2021-10-13 09:49:34+00:00,12674312
15200696,25203200,,53660,Nhà sách Fahasa,2,,,2023-03-14 13:06:12+00:00,2023-03-16 09:56:26+00:00,19030623
21198605,25203200,,53660,Nhà sách Fahasa,2,,,2021-04-05 03:34:07+00:00,2021-04-06 09:11:47+00:00,8964120
12125492,25203200,,1,Tiki Trading,4,,,2021-05-26 05:01:54+00:00,2021-05-27 12:08:07+00:00,11321292
6379691,25203200,,53660,Nhà sách Fahasa,1,,,2022-08-25 15:12:14+00:00,2022-08-30 16:56:30+00:00,17972166
5996272,25203200,,1,Tiki Trading,1,,,2020-04-18 12:15:51+00:00,2020-04-20 11:42:21+00:00,3464375
358613,25203200,,1,Tiki Trading,1,,,2021-04-12 04:10:28+00:00,2021-04-15 16:19:39+00:00,9103167
