customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
14540377,2137881,,53660,Nhà sách Fahasa,1,,,2022-03-17 06:31:07+00:00,2022-03-18 10:58:05+00:00,15521166
6903383,2137881,,53660,Nhà sách Fahasa,1,,,2021-12-22 15:18:02+00:00,2022-01-13 10:06:25+00:00,14504972
17818944,2137881,,53660,Nhà sách Fahasa,3,,,2022-04-03 13:47:40+00:00,2022-04-08 16:56:24+00:00,16318601
13613133,2137881,,53660,Nhà sách Fahasa,2,,,2021-10-23 09:52:32+00:00,2021-10-25 12:39:27+00:00,13169736
13876777,2137881,,53660,Nhà sách Fahasa,1,,,2021-11-03 01:37:24+00:00,2021-11-07 10:38:33+00:00,13097968
18749259,2137881,,53660,Nhà sách Fahasa,3,,,2021-08-30 04:56:26+00:00,2021-09-06 11:25:42+00:00,12168529
8231797,2137881,,1,Tiki Trading,1,,,2020-08-07 07:15:16+00:00,2020-08-10 10:01:54+00:00,4412338
1036477,2137881,,1,Tiki Trading,2,,,2021-03-21 22:27:17+00:00,2021-03-23 12:33:42+00:00,9273042
15316314,2137881,,1,Tiki Trading,2,,,2021-03-15 05:42:26+00:00,2021-03-19 09:08:08+00:00,8647005
10916098,2137881,,1,Tiki Trading,1,,,2020-11-11 16:33:38+00:00,2020-11-13 17:00:08+00:00,7952129
18667783,2137881,,1,Tiki Trading,2,,,2020-10-04 06:44:21+00:00,2020-10-06 15:06:43+00:00,7372453
16753778,2137881,,1,Tiki Trading,4,,,2020-11-25 02:32:37+00:00,2020-11-27 17:43:04+00:00,6553996
863473,2137881,,1,Tiki Trading,2,,,2020-09-09 04:05:30+00:00,2020-09-10 14:15:48+00:00,6377006
15719015,2137881,,1,Tiki Trading,1,,,2020-11-17 13:20:35+00:00,2020-11-18 13:49:04+00:00,5945773
703657,2137881,,1,Tiki Trading,4,,,2020-08-04 03:26:15+00:00,2020-08-09 17:27:59+00:00,4395261
532771,2137881,,1,Tiki Trading,3,,,2020-10-25 12:46:22+00:00,2020-10-27 07:46:28+00:00,5388939
5184678,2137881,,1,Tiki Trading,3,,,2020-01-05 02:46:28+00:00,2020-01-06 15:41:46+00:00,4339635
