customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
8083931,19823203,,53660,Nhà sách Fahasa,2,,,2021-05-25 03:56:27+00:00,2021-05-26 16:39:01+00:00,9977374
16159780,19823203,,53660,Nhà sách Fahasa,2,,,2020-02-04 05:01:43+00:00,2020-02-05 12:36:46+00:00,2973082
12580044,19823203,,53660,Nhà sách Fahasa,3,,,2021-06-19 07:50:14+00:00,2021-06-24 12:38:38+00:00,10655988
22090905,19823203,,1,Tiki Trading,4,,,2022-03-12 16:25:33+00:00,2022-03-14 09:53:42+00:00,15408744
16620857,19823203,,53660,Nhà sách Fahasa,4,,,2020-02-28 14:19:41+00:00,2020-02-29 14:22:28+00:00,3081727
8269766,19823203,,53660,Nhà sách Fahasa,4,,,2021-12-03 15:25:24+00:00,2021-12-04 13:56:30+00:00,13947871
12621101,19823203,,1,Tiki Trading,4,,,2021-10-06 11:30:53+00:00,2021-10-07 09:55:02+00:00,12477359
5518961,19823203,,53660,Nhà sách Fahasa,2,,,2021-06-03 12:08:42+00:00,2021-06-06 11:26:24+00:00,10223032
2120497,19823203,,1,Tiki Trading,2,,,2021-04-15 15:14:47+00:00,2021-04-16 14:29:53+00:00,9198368
5416939,19823203,,1,Tiki Trading,1,,,2021-04-17 12:48:43+00:00,2021-04-19 11:03:26+00:00,9180873
13769437,15134131,,73,CDIMEX,2,,,2022-05-29 16:13:05+00:00,2022-06-01 15:51:03+00:00,17978719
6477563,15134131,,1,Tiki Trading,1,,,2022-03-28 03:56:58+00:00,2022-03-30 15:09:07+00:00,16640689
1843806,15134131,,1,Tiki Trading,4,,,2019-10-30 02:36:22+00:00,2019-11-01 07:32:50+00:00,2596480
16859213,15134131,,1,Tiki Trading,4,,,2022-03-28 10:40:34+00:00,2022-03-29 17:07:16+00:00,15681338
112948,15134131,,1,Tiki Trading,3,,,2020-04-23 15:02:54+00:00,2020-04-29 14:21:53+00:00,3495585
1819280,15134131,,1,Tiki Trading,2,,,2022-04-05 13:16:44+00:00,2022-04-08 10:16:39+00:00,16923837
20419435,15134131,,1,Tiki Trading,4,,,2021-09-24 08:37:18+00:00,2021-10-11 19:40:15+00:00,12902010
16494857,15134131,,1,Tiki Trading,4,,,2020-06-28 13:49:14+00:00,,3937977
14100078,15134131,,53660,Nhà sách Fahasa,1,,,2022-04-02 03:47:52+00:00,2022-04-04 15:56:44+00:00,15768016
25922847,15134131,,1,Tiki Trading,3,,,2022-05-18 17:24:51+00:00,2022-05-24 15:30:36+00:00,16599722
27038286,15134131,,1,Tiki Trading,4,,,2022-03-29 14:58:04+00:00,2022-03-31 08:52:27+00:00,15692576
