customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
640505,7194343,,1,Tiki Trading,1,,,2019-04-14 10:27:08+00:00,2019-05-14 12:22:28+00:00,2198527
353537,7194343,,53660,Nhà sách Fahasa,1,,,2021-01-27 15:13:35+00:00,2021-01-28 15:15:39+00:00,7322990
625086,7194343,,53660,Nhà sách Fahasa,2,,,2021-02-12 11:24:04+00:00,2021-02-18 11:26:17+00:00,7780325
20318475,7194343,,1,Tiki Trading,1,,,2021-09-19 18:12:36+00:00,2021-10-01 15:24:51+00:00,12402734
1356818,7194343,,53660,Nhà sách Fahasa,3,,,2023-06-11 09:45:33+00:00,2023-06-13 14:38:19+00:00,19308635
20222962,7194343,,53660,Nhà sách Fahasa,3,,,2021-02-07 04:58:06+00:00,2021-02-17 12:35:14+00:00,7753451
5461991,7194343,,1,Tiki Trading,4,,,2019-06-16 15:00:39+00:00,2019-06-18 13:37:36+00:00,2267495
5612352,7194343,,73,CDIMEX,1,,,2022-11-12 12:49:09+00:00,2022-11-17 14:57:08+00:00,18681338
8275785,7194343,,53660,Nhà sách Fahasa,2,,,2019-10-24 08:35:18+00:00,2019-10-25 16:32:05+00:00,2564543
1634306,7194343,,53660,Nhà sách Fahasa,2,,,2022-09-29 11:22:33+00:00,2022-10-03 12:37:07+00:00,17862826
680081,7194343,,1,Tiki Trading,4,,,2021-07-19 07:06:44+00:00,2021-07-22 15:39:06+00:00,11373136
5500623,7194343,,1,Tiki Trading,3,,,2019-11-15 07:38:00+00:00,,2651454
12425103,7194343,,1,Tiki Trading,1,,,2020-04-30 14:07:36+00:00,2020-05-04 10:21:07+00:00,3782872
389092,7194343,,73,CDIMEX,2,,,2022-03-31 03:43:41+00:00,2022-03-31 12:43:54+00:00,15727601
719686,7194343,,1,Tiki Trading,3,,,2021-03-27 13:54:51+00:00,2021-03-28 14:18:26+00:00,8727231
493307,7194343,,1,Tiki Trading,3,,,2021-04-13 04:07:21+00:00,2021-04-16 10:38:05+00:00,10382377
9797961,7194343,,1,Tiki Trading,3,,,2021-02-03 17:43:04+00:00,2021-02-04 10:52:50+00:00,7534355
9700530,7194343,,1,Tiki Trading,4,,,2021-02-03 14:03:14+00:00,2021-02-04 17:25:14+00:00,7534151
17958459,7194343,,1,Tiki Trading,2,,,2021-04-21 05:40:14+00:00,2021-04-22 15:03:23+00:00,9283285
7038477,7194343,,1,Tiki Trading,3,,,2019-06-17 10:19:30+00:00,,2262735
9727162,7194343,,1,Tiki Trading,3,,,2021-10-18 05:20:07+00:00,2021-10-19 16:35:52+00:00,13344585
9641594,7194343,,1,Tiki Trading,4,,,2021-11-01 14:54:44+00:00,2021-11-02 16:11:44+00:00,13157590
11881224,7194343,,1,Tiki Trading,1,,,2021-10-30 12:06:59+00:00,2021-11-02 12:56:04+00:00,12974200
153630,7194343,,53660,Nhà sách Fahasa,2,,,2020-02-27 04:24:05+00:00,2020-03-02 14:12:55+00:00,3129888
337059,7194343,,1,Tiki Trading,1,,,2021-03-28 17:07:46+00:00,2021-03-29 14:40:09+00:00,8802656
8200503,7194343,,1,Tiki Trading,3,,,2021-09-07 01:16:41+00:00,2021-09-10 16:03:51+00:00,12167791
7642411,7194343,,1,Tiki Trading,3,,,2021-02-10 17:24:19+00:00,2021-02-19 17:12:25+00:00,9254850
1180043,7194343,,1,Tiki Trading,3,,,2021-07-10 19:29:57+00:00,2021-07-13 14:01:16+00:00,11445213
5353889,7194343,,53660,Nhà sách Fahasa,2,,,2021-02-13 04:24:49+00:00,2021-02-17 13:24:23+00:00,8058411
6391369,7194343,,1,Tiki Trading,3,,,2021-03-24 15:44:19+00:00,2021-03-29 13:01:14+00:00,9847599
8594004,7194343,,1,Tiki Trading,3,,,2021-04-26 07:10:43+00:00,2021-04-27 10:34:20+00:00,9539842
9085211,7194343,,1,Tiki Trading,2,,,2020-04-30 05:20:57+00:00,2020-05-03 14:36:55+00:00,3644689
1389001,7194343,,1,Tiki Trading,1,,,2021-04-11 03:10:44+00:00,2021-04-13 18:16:05+00:00,9326278
5837266,7194343,,1,Tiki Trading,3,,,2021-02-06 10:40:44+00:00,2021-02-06 19:19:05+00:00,8439465
5466701,7194343,,53660,Nhà sách Fahasa,4,,,2020-03-01 02:56:48+00:00,2020-03-02 09:51:27+00:00,3103618
712158,7194343,,53660,Nhà sách Fahasa,2,,,2021-02-14 10:56:05+00:00,2021-02-18 08:58:22+00:00,7784931
1191250,7194343,,1,Tiki Trading,1,,,2021-01-24 03:05:27+00:00,2021-01-25 16:19:42+00:00,7770232
14787022,7194343,,1,Tiki Trading,3,,,2021-01-21 14:30:47+00:00,2021-01-25 18:00:43+00:00,7755098
1971525,7194343,,1,Tiki Trading,4,,,2021-01-22 04:12:11+00:00,2021-01-22 14:54:02+00:00,7199214
7715489,7194343,,1,Tiki Trading,3,,,2020-12-19 11:06:19+00:00,2020-12-23 11:36:20+00:00,6546936
