customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
22533191,146272006,,260511,MCBooks Hạnh Phúc,4,,,2023-07-14 11:52:33+00:00,2023-07-17 14:30:25+00:00,19386328
23878932,146272006,,285428,MCBooks Sài Gòn,3,,,2024-09-12 14:44:41+00:00,2024-09-14 17:22:17+00:00,19994048
8695079,146272006,,285428,MCBooks Sài Gòn,1,,,2024-01-18 05:35:15+00:00,2024-01-20 10:28:00+00:00,19750565
725258,146272006,,260511,MCBooks Hạnh Phúc,3,,,2022-09-25 16:24:29+00:00,2022-09-27 16:42:02+00:00,18332361
15695121,146272006,,260511,MCBooks Hạnh Phúc,2,,,2023-01-02 04:03:46+00:00,2023-01-05 16:35:36+00:00,18642456
746760,146272006,,285428,MCBooks Sài Gòn,2,,,2022-11-09 03:10:23+00:00,2022-11-11 10:00:10+00:00,18177337
28281838,146272006,,260511,MCBooks Hạnh Phúc,3,,,2022-10-04 14:23:39+00:00,2022-10-06 10:46:54+00:00,18159753
6796911,146272006,,156296,Tâm An Books,1,,,2022-02-17 21:12:23+00:00,2022-02-19 12:29:29+00:00,15194512
1552093,146272006,,260511,MCBooks Hạnh Phúc,1,,,2022-07-06 01:12:13+00:00,2022-07-07 18:16:10+00:00,18042460
95447,146272006,,260511,MCBooks Hạnh Phúc,1,,,2022-05-16 07:20:58+00:00,2022-05-20 09:39:47+00:00,17994467
331014,84458049,,1,Tiki Trading,4,,,2022-06-27 14:43:36+00:00,2022-06-28 09:25:21+00:00,16985723
445208,84458049,,1,Tiki Trading,1,,,2022-09-09 16:02:43+00:00,2022-09-11 13:17:59+00:00,17661263
22047602,84458049,,1,Tiki Trading,4,,,2022-12-29 03:39:42+00:00,2022-12-30 16:29:28+00:00,18574835
13937444,84458049,,1,Tiki Trading,1,,,2023-08-08 04:50:26+00:00,2023-08-09 09:32:56+00:00,19451103
