customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
16009626,45873960,,1,Tiki Trading,4,,,2023-01-08 17:24:24+00:00,2023-01-12 11:41:18+00:00,18623496
319271,45873960,,1,Tiki Trading,2,,,2022-10-23 19:00:33+00:00,2022-10-28 12:49:04+00:00,18368282
21745201,45873960,,1,Tiki Trading,1,,,2023-02-06 01:21:01+00:00,2023-02-06 10:45:35+00:00,18748883
14655468,45873960,,36846,Minh Long Book,1,,,2023-06-01 12:14:04+00:00,2023-06-03 13:35:50+00:00,19328442
27020343,45873960,,53660,Nhà sách Fahasa,4,,,2022-03-08 17:15:59+00:00,2022-03-10 11:12:02+00:00,15347732
13818013,45873960,,53660,Nhà sách Fahasa,2,,,2022-06-27 15:07:37+00:00,2022-06-29 09:56:37+00:00,16878403
1093055,45873960,,36846,Minh Long Book,4,,,2022-01-08 14:30:12+00:00,2022-01-10 11:07:29+00:00,14370179
11085707,45873960,,53660,Nhà sách Fahasa,1,,,2022-06-06 07:59:50+00:00,2022-06-09 10:25:34+00:00,17682485
26213376,45873960,,1,Tiki Trading,4,,,2023-01-06 11:26:43+00:00,2023-01-08 11:05:49+00:00,18598204
20779225,45873960,,1,Tiki Trading,2,,,2022-10-27 01:56:11+00:00,2022-10-28 10:02:26+00:00,18442136
13438331,45873960,,36846,Minh Long Book,2,,,2022-11-27 13:46:34+00:00,2022-11-28 15:08:06+00:00,18406851
7005597,45873960,,36846,Minh Long Book,1,,,2022-01-15 15:50:42+00:00,2022-01-19 14:51:08+00:00,15165460
5647389,45873960,,36846,Minh Long Book,3,,,2022-08-20 05:39:10+00:00,2022-08-20 16:40:56+00:00,17530733
22235987,45873960,,53660,Nhà sách Fahasa,2,,,2022-04-05 19:10:00+00:00,2022-04-08 09:25:22+00:00,15833074
231374,45873960,,36846,Minh Long Book,2,,,2021-05-03 09:00:25+00:00,2021-05-07 08:16:37+00:00,9551863
17739188,45873960,,53660,Nhà sách Fahasa,1,,,2021-12-15 16:58:50+00:00,2021-12-17 11:10:54+00:00,13896582
17923749,45873960,,53660,Nhà sách Fahasa,3,,,2020-12-12 13:18:28+00:00,2020-12-15 19:45:23+00:00,7482095
9135558,45873960,,36846,Minh Long Book,1,,,2021-07-01 02:02:11+00:00,2021-07-03 12:19:17+00:00,10951027
22100404,45873960,,127989,Times Books,2,,,2021-06-10 04:27:23+00:00,2021-06-12 13:15:11+00:00,10382245
16099117,45873960,,53660,Nhà sách Fahasa,1,,,2021-02-26 16:55:33+00:00,2021-03-01 11:00:38+00:00,8167886
1251078,370261,,36846,Minh Long Book,4,,,2023-09-24 03:27:48+00:00,2023-09-27 14:53:26+00:00,19559254
1446906,370261,,53660,Nhà sách Fahasa,1,,,2021-07-24 15:18:20+00:00,2021-07-30 12:38:41+00:00,11524918
10340402,370261,,16979,GOLD BOOKS,3,,,2021-09-21 04:46:38+00:00,2021-09-28 17:57:03+00:00,12551621
510036,370261,,16979,GOLD BOOKS,4,,,2021-10-09 02:29:43+00:00,2021-10-15 10:10:46+00:00,12626012
14147944,370261,,36846,Minh Long Book,3,,,2021-12-12 07:32:40+00:00,2021-12-15 13:10:11+00:00,13860563
1610639,370261,,53660,Nhà sách Fahasa,1,,,2022-02-07 10:35:02+00:00,2022-02-08 19:25:52+00:00,14869236
597473,370261,,1,Tiki Trading,2,,,2018-04-09 10:45:44+00:00,2018-04-11 16:31:34+00:00,1469974
7175886,370261,,53660,Nhà sách Fahasa,1,,,2021-08-05 12:39:32+00:00,2021-09-25 00:33:28+00:00,12363795
20391899,370261,,16979,GOLD BOOKS,1,,,2021-08-23 12:40:03+00:00,2021-08-24 12:00:03+00:00,12026475
14156527,370261,,53660,Nhà sách Fahasa,3,,,2021-02-01 04:02:04+00:00,2021-02-06 10:05:41+00:00,7571433
22096570,370261,,53660,Nhà sách Fahasa,3,,,2021-06-09 04:50:09+00:00,2021-06-10 16:11:14+00:00,10609272
11401966,370261,,53660,Nhà sách Fahasa,2,,,2021-06-15 03:59:28+00:00,2021-06-17 10:57:50+00:00,10530284
19532889,370261,,53660,Nhà sách Fahasa,4,,,2021-04-30 03:37:06+00:00,2021-05-09 17:26:06+00:00,9798703
1163906,370261,,53660,Nhà sách Fahasa,3,,,2020-11-15 05:34:38+00:00,2020-11-16 15:01:14+00:00,8239859
372180,370261,,53660,Nhà sách Fahasa,4,,,2021-01-15 08:24:41+00:00,2021-01-16 10:49:31+00:00,7020106
12454379,370261,,1,Tiki Trading,3,,,2019-07-14 10:30:54+00:00,2019-07-16 17:37:56+00:00,2316712
9790318,370261,,1,Tiki Trading,4,,,2019-12-14 01:36:10+00:00,2019-12-15 15:11:24+00:00,2863102
11583742,370261,,16979,GOLD BOOKS,3,,,2020-08-18 09:35:09+00:00,2020-08-19 15:01:54+00:00,4530011
764790,370261,,1,Tiki Trading,2,,,2015-11-30 08:56:32+00:00,2015-12-03 17:06:26+00:00,401850
443490,370261,,1,Tiki Trading,3,,,2015-12-17 04:04:16+00:00,2015-12-19 11:03:41+00:00,364056
936774,30807652,,1,Tiki Trading,4,,,2023-07-18 06:47:01+00:00,2023-07-18 14:36:07+00:00,19564753
18938466,30807652,,1,Tiki Trading,4,,,2021-02-24 04:41:11+00:00,2021-02-25 10:45:13+00:00,9762553
22488780,30807652,,1,Tiki Trading,1,,,2022-05-19 16:20:01+00:00,2022-05-23 11:51:45+00:00,16441344
9886531,30807652,,1,Tiki Trading,2,,,2021-02-23 04:38:55+00:00,2021-02-24 10:24:25+00:00,8511603
12169547,30807652,,1,Tiki Trading,1,,,2022-01-12 07:37:57+00:00,2022-01-14 16:18:14+00:00,14491699
5443342,30807652,,1,Tiki Trading,3,,,2021-07-15 16:32:59+00:00,2021-07-16 11:41:33+00:00,11213586
