id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,seller_id,seller_name,delivery_rating
14121122,8492983,439947,4,Hài lòng,"Bảng thì được rồi, có cái cạnh viền bị móp méo không xác định được do nhà bán hàng hay bên vận chuyển? Làm sao đây shop ơi?",approved,0,0,"[{'id': 2953705, 'full_path': 'https://salt.tikicdn.com/ts/review/f3/8c/81/4cc202502a69b10f477c1fef0a8c8de4.jpg', 'status': 'approved'}, {'id': 2953706, 'full_path': 'https://salt.tikicdn.com/ts/review/0f/b0/eb/b49dd0a8e84b0513e46d9e08225345be.jpg', 'status': 'approved'}, {'id': 2953707, 'full_path': 'https://salt.tikicdn.com/ts/review/51/74/43/bb74331d9e2c4a4d7b585a76ba06d6fa.jpg', 'status': 'approved'}, {'id': 2953708, 'full_path': 'https://salt.tikicdn.com/ts/review/72/e6/58/0413bfef3ef57dcecc246df9990d7054.jpg', 'status': 'approved'}, {'id': 2953709, 'full_path': 'https://salt.tikicdn.com/ts/review/f2/0e/d7/9b7564a8ca7c5d9168cb16f9f86a801f.jpg', 'status': 'approved'}]",176,Thiết Bị Giáo Dục BAVICO,[]
8022114,18026131,439947,3,Bình thường,"cảm quan là bảng khá đẹp, chưa viết nên ko biết xóa phấn có dễ ko. nhưng tiki đóng hàng ko cẩn thận, hàng dễ vỡ mà chỉ bọc qua loa, đến nơi thì xệch xoạc. may chỉ xước rìa ngoài ko bị xước mặt bảng",approved,0,0,"[{'id': 1638078, 'full_path': 'https://salt.tikicdn.com/ts/review/d8/50/43/cba66927b10ae6c366604bceed113cda.jpg', 'status': 'approved'}, {'id': 1638079, 'full_path': 'https://salt.tikicdn.com/ts/review/5d/89/f4/31c3672f03615059507dc64344dae351.jpg', 'status': 'approved'}, {'id': 1638080, 'full_path': 'https://salt.tikicdn.com/ts/review/27/51/df/07c8fdfee1e73ec796cbe7791e8e514a.jpg', 'status': 'approved'}]",1,Tiki Trading,[]
16764970,860120,439947,2,Không hài lòng,bảng này màu đen chứ k phải màu xanh như hình ạ,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
17787001,16473422,439947,5,Cực kì hài lòng,,approved,0,1,[],176,Thiết Bị Giáo Dục BAVICO,[]
17754757,16221148,439947,4,Hài lòng,,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
12186916,18196542,439947,1,Rất không hài lòng,sp chất lượng kém. khi nhận bị cong vênh,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
14757105,144151,439947,5,Cực kì hài lòng,bảng tốt,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
3458759,1552495,439947,5,Cực kì hài lòng,"Bảng nhẹ, đẹp. Không loá. Tuy nhiên tiki giao hàng bị rách nhựa bọc làm bảng trầy xước một đoạn ngắn!",approved,1,0,"[{'id': 3137584, 'full_path': 'https://salt.tikicdn.com/ts/review/74/42/41/e73fb16659f26db28768b765978badfd.jpg', 'status': 'approved'}]",176,Thiết Bị Giáo Dục BAVICO,[]
13726541,5794178,439947,5,Cực kì hài lòng,dùng tốt,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
8409560,13401097,439947,2,Không hài lòng,bảng loá kg ăn phấn. nhìn kg rõ chữ,approved,0,0,[],1,Tiki Trading,[]
11326215,12312318,439947,5,Cực kì hài lòng,,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
7537026,6928793,439947,4,Hài lòng,,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
7060965,10362791,439947,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
2440057,7025378,439947,3,Bình thường,Mk thấy bảng mỏng quá k được dày dặn. Chưa viết thử nhưng thấy tầm giá đó mà bảng mỏng quá,approved,2,1,[],176,Thiết Bị Giáo Dục BAVICO,[]
5713191,6798053,439947,5,Cực kì hài lòng,,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
5038654,1171849,439947,5,Cực kì hài lòng,,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
2148463,11672424,439947,2,Không hài lòng,vận chuyển bị hư và bể 4 gốc. đề nghị sao này shop kĩ 4 gốc dùm,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
1910638,7998536,439947,3,Bình thường,Bảng viết đẹp dễ lau chùi nhưng do quá trình vận chuyển không cẩn thận kiến một bên nhôm bị móp.,approved,0,0,[],176,Thiết Bị Giáo Dục BAVICO,[]
1412450,5169633,439947,5,Cực kì hài lòng,"Bảng được đóng gói cẩn thận, bảng nhận được như hình mô tả.
Tuy nhiên phần mặt bảng có vết trầy nhỏ nhưng không đáng kể.",approved,0,1,[],176,Thiết Bị Giáo Dục BAVICO,[]
500697,1994364,439947,5,Hàng chuẩn,Mình nhận đc hàng chuẩn từ nhà sản xuất và ưng ý lắm ạ :),approved,1,0,[],1,Tiki Trading,[]
