id,name,price,short_description,description,rating_average,review_count,image_base_url,image_large_url,image_medium_url,image_small_url,image_thumbnail_url,stock,quantity_sold
272850969,Nhổ ghim số 10 Kw-TriO 0508B (Gỡ ghim),11000,"Nhổ ghim số 10 Kw-TriO 0508B Được làm từ kim loại cao cấp, sở hữu độ bền chắc và sử dụng lâu dàiBề mặt mạ bạc chống ăn mòn, bền lâu và không bị hỏngThiết kế có khóa chốt giúp cầm tiện lợiDùng cho ghim...","Nhổ ghim số 10 Kw-TriO 0508B Được làm từ kim loại cao cấp, sở hữu độ bền chắc và sử dụng lâu dài Bề mặt mạ bạc chống ăn mòn, bền lâu và không bị hỏng Thiết kế có khóa chốt giúp cầm tiện lợi Dùng cho ghim loại số 10, 24/6, 26/6 Kích thước: 58‭ ‬x 39‭ ‬x 51‭ ‬mm Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)..... Sản phẩm này là tài sản cá nhân được bán bởi Nhà Bán Hàng Cá Nhân và không thuộc đối tượng phải chịu thuế GTGT. Do đó hoá đơn VAT không được cung cấp trong trường hợp này.",5,1,"https://salt.tikicdn.com/ts/product/93/36/af/ae7f228e8077bf045449cef64db95205.png, https://salt.tikicdn.com/ts/product/f8/93/ec/9d998425a3a50923745ebc415df49ee0.jpg, https://salt.tikicdn.com/ts/product/03/87/ed/b8cc9348d0cb096921306067e300edfb.jpg","https://salt.tikicdn.com/cache/w1200/ts/product/93/36/af/ae7f228e8077bf045449cef64db95205.png, https://salt.tikicdn.com/cache/w1200/ts/product/f8/93/ec/9d998425a3a50923745ebc415df49ee0.jpg, https://salt.tikicdn.com/cache/w1200/ts/product/03/87/ed/b8cc9348d0cb096921306067e300edfb.jpg","https://salt.tikicdn.com/cache/w300/ts/product/93/36/af/ae7f228e8077bf045449cef64db95205.png, https://salt.tikicdn.com/cache/w300/ts/product/f8/93/ec/9d998425a3a50923745ebc415df49ee0.jpg, https://salt.tikicdn.com/cache/w300/ts/product/03/87/ed/b8cc9348d0cb096921306067e300edfb.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/93/36/af/ae7f228e8077bf045449cef64db95205.png, https://salt.tikicdn.com/cache/200x280/ts/product/f8/93/ec/9d998425a3a50923745ebc415df49ee0.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/03/87/ed/b8cc9348d0cb096921306067e300edfb.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/93/36/af/ae7f228e8077bf045449cef64db95205.png, https://salt.tikicdn.com/cache/200x280/ts/product/f8/93/ec/9d998425a3a50923745ebc415df49ee0.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/03/87/ed/b8cc9348d0cb096921306067e300edfb.jpg",1000,1
200620394,Gỡ Kim Kidario KSR-508 (Giao màu ngẫu nhiên),11000," Gỡ Kim Kidario KSR-508 (Giao màu ngẫu nhiên) : Gỡ Kim Kidario KSR-508 (Giao màu ngẫu nhiên)- Là vật dụng thiết yếu không thể thiếu, dụng cụ hỗ trợ đắt lực cho những lần bấm ghim bị sai, bấm nhầm ...","Gỡ Kim Kidario KSR-508 (Giao màu ngẫu nhiên) : Gỡ Kim Kidario KSR-508 (Giao màu ngẫu nhiên) - Là vật dụng thiết yếu không thể thiếu, dụng cụ hỗ trợ đắt lực cho những lần bấm ghim bị sai, bấm nhầm , hoặc cần tháo kim ra khỏi tài liệu, giấy tờ - Thiết kế được bọc ngoài bằng lớp nhựa cứng, màu sắc sáng bóng, sang trọng, đẹp mắt, chất liệu thép không gỉ khi sữ dụng lâu dài. - Thân được thiết kế chắc chắn, chống trượt tay, giúp bạn có thể điều khiển sản phẩm một câch linh hoạt nhất, không những thế , với thiết kế này, nó còn mang lại độ an toàn tuyệt đối khi sử dụng sản phẩm. ĐT : không bảy không bảy ba bảy một bảy bốn bốn Đ/C : 57 Tân Thành, Hòa Thạnh, Tân Phú, TPHCM Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,"https://salt.tikicdn.com/ts/product/e1/28/25/ae89ce2aebecf8716a975e9759b3f0ee.jpg, https://salt.tikicdn.com/ts/product/64/f4/73/50425a356a2391575f7304d3c24bc8ac.jpg, https://salt.tikicdn.com/ts/product/54/4d/76/c08a980c5e8fef3e8ee2c7aacfe667ff.jpg","https://salt.tikicdn.com/cache/w1200/ts/product/e1/28/25/ae89ce2aebecf8716a975e9759b3f0ee.jpg, https://salt.tikicdn.com/cache/w1200/ts/product/64/f4/73/50425a356a2391575f7304d3c24bc8ac.jpg, https://salt.tikicdn.com/cache/w1200/ts/product/54/4d/76/c08a980c5e8fef3e8ee2c7aacfe667ff.jpg","https://salt.tikicdn.com/cache/w300/ts/product/e1/28/25/ae89ce2aebecf8716a975e9759b3f0ee.jpg, https://salt.tikicdn.com/cache/w300/ts/product/64/f4/73/50425a356a2391575f7304d3c24bc8ac.jpg, https://salt.tikicdn.com/cache/w300/ts/product/54/4d/76/c08a980c5e8fef3e8ee2c7aacfe667ff.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/e1/28/25/ae89ce2aebecf8716a975e9759b3f0ee.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/64/f4/73/50425a356a2391575f7304d3c24bc8ac.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/54/4d/76/c08a980c5e8fef3e8ee2c7aacfe667ff.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/e1/28/25/ae89ce2aebecf8716a975e9759b3f0ee.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/64/f4/73/50425a356a2391575f7304d3c24bc8ac.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/54/4d/76/c08a980c5e8fef3e8ee2c7aacfe667ff.jpg",1000,0
193485535,Gỡ kim Eagle 1039A dùng tháo kim có dạng kìm,42000,"  Tháo gỡ kim Eagle 1039A dùng tháo kim bấm lớn.   Chất liệu thép cứng, tháo kim dễ dàng.   Gỡ hiệu quả khi đóng 20 - 40 tờ!   Nếu đóng tập giấy dày trên 40 tờ bạn cần dùng loại gỡ kim lớn hơn nhé...","Tháo gỡ kim Eagle 1039A dùng tháo kim bấm lớn. Chất liệu thép cứng, tháo kim dễ dàng. Gỡ hiệu quả khi đóng 20 - 40 tờ! Nếu đóng tập giấy dày trên 40 tờ bạn cần dùng loại gỡ kim lớn hơn nhé! Cám ơn các bạn! Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",5,1,https://salt.tikicdn.com/ts/product/65/f2/09/25de6c901dcea540d35786c3706a9862.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/65/f2/09/25de6c901dcea540d35786c3706a9862.jpg,https://salt.tikicdn.com/cache/w300/ts/product/65/f2/09/25de6c901dcea540d35786c3706a9862.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/65/f2/09/25de6c901dcea540d35786c3706a9862.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/65/f2/09/25de6c901dcea540d35786c3706a9862.jpg,1000,1
154183587,Kìm nhổ ghim đại Kw-TriO 5093,98000,"Kìm nhổ ghim đại Kw-TriO 5093 là gỡ ghim chuyên dụng với chất liệu bằng thépThông tin chi tiết sản phẩm:- Gỡ đạn ghim 24/6, 23/8, 23/10, 23/13, 23/15, 23/17, 23/20, 23/23, 23/24- Kích thước: 160‬x4...","Kìm nhổ ghim đại Kw-TriO 5093 là gỡ ghim chuyên dụng với chất liệu bằng thép Thông tin chi tiết sản phẩm: - Gỡ đạn ghim 24/6, 23/8, 23/10, 23/13, 23/15, 23/17, 23/20, 23/23, 23/24 - Kích thước: 160‬x47‬x88‭ ‬mm Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)..... Sản phẩm này là tài sản cá nhân được bán bởi Nhà Bán Hàng Cá Nhân và không thuộc đối tượng phải chịu thuế GTGT. Do đó hoá đơn VAT không được cung cấp trong trường hợp này.",0,0,"https://salt.tikicdn.com/ts/product/2a/48/73/41531f5d20df235834f3f015d25c76a6.jpg, https://salt.tikicdn.com/ts/product/31/35/83/0e5e71bc059952dba3d14c0ff5f67d4c.png, https://salt.tikicdn.com/ts/product/aa/73/00/3d428c6e3112da3c18e7bc5fe3e48c8a.jpg","https://salt.tikicdn.com/cache/w1200/ts/product/2a/48/73/41531f5d20df235834f3f015d25c76a6.jpg, https://salt.tikicdn.com/cache/w1200/ts/product/31/35/83/0e5e71bc059952dba3d14c0ff5f67d4c.png, https://salt.tikicdn.com/cache/w1200/ts/product/aa/73/00/3d428c6e3112da3c18e7bc5fe3e48c8a.jpg","https://salt.tikicdn.com/cache/w300/ts/product/2a/48/73/41531f5d20df235834f3f015d25c76a6.jpg, https://salt.tikicdn.com/cache/w300/ts/product/31/35/83/0e5e71bc059952dba3d14c0ff5f67d4c.png, https://salt.tikicdn.com/cache/w300/ts/product/aa/73/00/3d428c6e3112da3c18e7bc5fe3e48c8a.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/2a/48/73/41531f5d20df235834f3f015d25c76a6.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/31/35/83/0e5e71bc059952dba3d14c0ff5f67d4c.png, https://salt.tikicdn.com/cache/200x280/ts/product/aa/73/00/3d428c6e3112da3c18e7bc5fe3e48c8a.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/2a/48/73/41531f5d20df235834f3f015d25c76a6.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/31/35/83/0e5e71bc059952dba3d14c0ff5f67d4c.png, https://salt.tikicdn.com/cache/200x280/ts/product/aa/73/00/3d428c6e3112da3c18e7bc5fe3e48c8a.jpg",1000,0
122535460,MAPED - Dụng cụ tháo ghim - 1 cái,22000,@MAPED STATIONERY#Cửa hàng chính thức của MAPED VIỆT NAMDụng cụ tháo ghimTÍNH NĂNG SẢN PHẨM:️ Thiết kế đơn giản️ ️Dễ sử dụng Giá cả hợp lýTHÔNG TIN CHI TIẾT:Loại sản phẩm: Dụng cụ tháo ghimM...,"@MAPED STATIONERY #Cửa hàng chính thức của MAPED VIỆT NAM Dụng cụ tháo ghim TÍNH NĂNG SẢN PHẨM: ️ Thiết kế đơn giản ️ ️Dễ sử dụng Giá cả hợp lý THÔNG TIN CHI TIẾT: Loại sản phẩm: Dụng cụ tháo ghim Màu sắc: Đen Mã sản phẩm: 370111 Sản phẩm chính hãng từ MAPED VIỆT NAM __________________________________________________________________________ Là một trong những nhãn hàng văn phòng phẩm hàng đầu tại Pháp và có mặt ở nhiều nước trên thế giới, MAPED luôn mang đến những sản phẩm chất lượng tốt nhất cho khách hàng trong lĩnh vực văn phòng phẩm cho trường học, văn phòng Với phương châm đưa các sản phẩm chất lương Pháp đến tay khách hàng Việt. MAPED VIỆT NAM mong muốn làm thỏa mãn người tiêu dùng Việt Nam với những sản phẩm chất lượng cao, bền bỉ và thân thiện với người dùng. Khách hàng mua hàng tại đây sẽ được MAPED VIỆT NAM cam kết: - Sản phẩm chính hãng của MAPED nguồn gốc rõ ràng và chất lượng đạt tiêu chuẩn. - Giá cả hợp lí, xứng đáng với giá tiền. - Hỗ trợ đổi trả hàng cho những sản phẩm bị lỗi do nhà sản xuất. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Tuy nhiên tuỳ vào từng loại sản phẩm hoặc phương thức, địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,"https://salt.tikicdn.com/ts/product/9b/38/87/7e75f1c67a6fa1a7948730b915946dd4.png, https://salt.tikicdn.com/ts/product/20/d6/7f/604b66439655f1453613d719cf0568ac.png, https://salt.tikicdn.com/ts/product/d5/40/1f/3a2549f95619dca37920cd5aefa7d462.png","https://salt.tikicdn.com/cache/w1200/ts/product/9b/38/87/7e75f1c67a6fa1a7948730b915946dd4.png, https://salt.tikicdn.com/cache/w1200/ts/product/20/d6/7f/604b66439655f1453613d719cf0568ac.png, https://salt.tikicdn.com/cache/w1200/ts/product/d5/40/1f/3a2549f95619dca37920cd5aefa7d462.png","https://salt.tikicdn.com/cache/w300/ts/product/9b/38/87/7e75f1c67a6fa1a7948730b915946dd4.png, https://salt.tikicdn.com/cache/w300/ts/product/20/d6/7f/604b66439655f1453613d719cf0568ac.png, https://salt.tikicdn.com/cache/w300/ts/product/d5/40/1f/3a2549f95619dca37920cd5aefa7d462.png","https://salt.tikicdn.com/cache/200x280/ts/product/9b/38/87/7e75f1c67a6fa1a7948730b915946dd4.png, https://salt.tikicdn.com/cache/200x280/ts/product/20/d6/7f/604b66439655f1453613d719cf0568ac.png, https://salt.tikicdn.com/cache/200x280/ts/product/d5/40/1f/3a2549f95619dca37920cd5aefa7d462.png","https://salt.tikicdn.com/cache/200x280/ts/product/9b/38/87/7e75f1c67a6fa1a7948730b915946dd4.png, https://salt.tikicdn.com/cache/200x280/ts/product/20/d6/7f/604b66439655f1453613d719cf0568ac.png, https://salt.tikicdn.com/cache/200x280/ts/product/d5/40/1f/3a2549f95619dca37920cd5aefa7d462.png",1000,0
87043418,gỡ ghim (giao màu ngẫu nhiên),22000,"Vật dụng nhỏ gọn, bền bỉ gỡ nhiều loại kim khác nhau.Linh hoạt và an toàn, an toàn cho văn phòng.Thích hợp dùng cho văn phòng, trường học,Vật dụng nhỏ gọn, bền bỉ gỡ nhiều loại kim khác nhau.Linh hoạ...","Vật dụng nhỏ gọn, bền bỉ gỡ nhiều loại kim khác nhau. Linh hoạt và an toàn, an toàn cho văn phòng. Thích hợp dùng cho văn phòng, trường học, Vật dụng nhỏ gọn, bền bỉ gỡ nhiều loại kim khác nhau. Linh hoạt và an toàn, an toàn cho văn phòng. Chất liệu thép cao cấp, không bị gỉ sét. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",4.5,2,"https://salt.tikicdn.com/ts/product/42/e2/3c/13e2348bb665d2111be0b948620d2ba9.jpg, https://salt.tikicdn.com/ts/product/20/da/a3/833a39f82e20b2be26794704d1c5ea0a.jpg","https://salt.tikicdn.com/cache/w1200/ts/product/42/e2/3c/13e2348bb665d2111be0b948620d2ba9.jpg, https://salt.tikicdn.com/cache/w1200/ts/product/20/da/a3/833a39f82e20b2be26794704d1c5ea0a.jpg","https://salt.tikicdn.com/cache/w300/ts/product/42/e2/3c/13e2348bb665d2111be0b948620d2ba9.jpg, https://salt.tikicdn.com/cache/w300/ts/product/20/da/a3/833a39f82e20b2be26794704d1c5ea0a.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/42/e2/3c/13e2348bb665d2111be0b948620d2ba9.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/20/da/a3/833a39f82e20b2be26794704d1c5ea0a.jpg","https://salt.tikicdn.com/cache/200x280/ts/product/42/e2/3c/13e2348bb665d2111be0b948620d2ba9.jpg, https://salt.tikicdn.com/cache/200x280/ts/product/20/da/a3/833a39f82e20b2be26794704d1c5ea0a.jpg",1000,2
77678541,Kềm gỡ kim Gỡ kim bấm dạng kìm 1039A,42000,"Kềm gỡ kim 1039A - Gỡ nhiều loại kim có độ bền cứng, cho thao tác linh hoạt và an toàn.Gỡ kim các loại kim số 10, 3 và nhiều kích cỡ kim trên giấy tờ, tập tài liệu.Đây là sản phẩm cần thiết cho văn ...","Kềm gỡ kim 1039A - Gỡ nhiều loại kim có độ bền cứng, cho thao tác linh hoạt và an toàn. Gỡ kim các loại kim số 10, 3 và nhiều kích cỡ kim trên giấy tờ, tập tài liệu. Đây là sản phẩm cần thiết cho văn phòng và cơ sở in ấn hiện nay. Gỡ kim 1039A - Chất liệu inox bền bỉ, có độ cứng cao, dạng kềm dễ thao tác và chống trơn trợt hiệu quả. Bấm có độ bền cao, không bị gỉ sét trong thời gian sử dụng và thân thiện với người dùng. Thiết kế chuyên dụng, tiện lợi với lực gỡ nhẹ và linh hoạt, không làm rách giấy. Gỡ kim 1039A có thể gỡ nhiều loại kim bấm ở đầu giấy, gáy hồ sơ một cách nhanh chóng và thuận tiện. Loại gỡ kim nhỏ gọn, dễ sử dụng và đảm bảo hiệu quả các công việc liên quan đến hồ sơ, giấy tờ. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",4.5,35,"https://salt.tikicdn.com/ts/product/e1/fd/5a/629720fc1b0197713279f3133d4f2e01.png, https://salt.tikicdn.com/ts/product/7d/bd/35/9832ad7151e6eca63df6a3f8a940a72a.png, https://salt.tikicdn.com/ts/product/b9/d3/59/cd63618a3c05ef1d7795674891144f13.png","https://salt.tikicdn.com/cache/w1200/ts/product/e1/fd/5a/629720fc1b0197713279f3133d4f2e01.png, https://salt.tikicdn.com/cache/w1200/ts/product/7d/bd/35/9832ad7151e6eca63df6a3f8a940a72a.png, https://salt.tikicdn.com/cache/w1200/ts/product/b9/d3/59/cd63618a3c05ef1d7795674891144f13.png","https://salt.tikicdn.com/cache/w300/ts/product/e1/fd/5a/629720fc1b0197713279f3133d4f2e01.png, https://salt.tikicdn.com/cache/w300/ts/product/7d/bd/35/9832ad7151e6eca63df6a3f8a940a72a.png, https://salt.tikicdn.com/cache/w300/ts/product/b9/d3/59/cd63618a3c05ef1d7795674891144f13.png","https://salt.tikicdn.com/cache/200x280/ts/product/e1/fd/5a/629720fc1b0197713279f3133d4f2e01.png, https://salt.tikicdn.com/cache/200x280/ts/product/7d/bd/35/9832ad7151e6eca63df6a3f8a940a72a.png, https://salt.tikicdn.com/cache/200x280/ts/product/b9/d3/59/cd63618a3c05ef1d7795674891144f13.png","https://salt.tikicdn.com/cache/200x280/ts/product/e1/fd/5a/629720fc1b0197713279f3133d4f2e01.png, https://salt.tikicdn.com/cache/200x280/ts/product/7d/bd/35/9832ad7151e6eca63df6a3f8a940a72a.png, https://salt.tikicdn.com/cache/200x280/ts/product/b9/d3/59/cd63618a3c05ef1d7795674891144f13.png",1000,35
57760230,"DỤNG CỤ THÁO, GỠ GHIM BẤM 1029",12000,"Vật dụng nhỏ gọn, bền bỉ gỡ nhiều loại kim khác nhau.Linh hoạt và an toàn, an toàn cho văn phòng.Chất liệu thép cao cấp, không bị gỉ sét....","Vật dụng nhỏ gọn, bền bỉ gỡ nhiều loại kim khác nhau. Linh hoạt và an toàn, an toàn cho văn phòng. Chất liệu thép cao cấp, không bị gỉ sét. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",4.8,8,https://salt.tikicdn.com/ts/product/f0/1d/7f/efaeef87de8609f7b4ae7397a6618ff7.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/f0/1d/7f/efaeef87de8609f7b4ae7397a6618ff7.jpg,https://salt.tikicdn.com/cache/w300/ts/product/f0/1d/7f/efaeef87de8609f7b4ae7397a6618ff7.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/f0/1d/7f/efaeef87de8609f7b4ae7397a6618ff7.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/f0/1d/7f/efaeef87de8609f7b4ae7397a6618ff7.jpg,1000,8
34357628,Gỡ kim Thiên Long Flexoffice FO-STR02 - 01 cái,17000,"Thông số kĩ thuật :Thương hiệuFlexofficeChất liệuThépQuy cách1 vỉ / cáiTính năng nổi bật:Gỡ kim Flexoffice FO-STR02 được đánh giá cao bởi độ bền cứng, sử dụng khá linh hoạt và an toàn.Gỡ kim chất lượn...","Thông số kĩ thuật : Thương hiệu Flexoffice Chất liệu Thép Quy cách 1 vỉ / cái Tính năng nổi bật: Gỡ kim Flexoffice FO-STR02 được đánh giá cao bởi độ bền cứng, sử dụng khá linh hoạt và an toàn. Gỡ kim chất lượng uy tín thích hợp cho nhu cầu gỡ nhiều loại kim khác nhau trên giấy tờ, tập tài liệu ( số 10 , 24/6 , 26/6 ) Đây là sản phẩm cần thiết cho văn phòng và cơ sở in ấn hiện nay. Vài nét về gỡ kim Flexoffice Gỡ kim Flexoffice làm bằng chất liệu thép bền bỉ, có độ cứng cao, bọc lớp nhựa bên ngoài giúp thao tác êm tay và chống trơn trợt hiệu quả. Bấm có độ bền cao, không bị gỉ sét trong thời gian sử dụng và thân thiện với người dùng. Thiết kế chuyên dụng, tiện lợi với lực gỡ nhẹ và linh hoạt, không làm rách giấy. Có tính ứng dụng rộng rãi Gỡ kim Flexoffice có thể gỡ nhiều loại kim bấm đáp ứng tốt công việc gỡ kim bấm đầu giấy, gáy hồ sơ một cách nhanh chóng và thuận tiện. Loại gỡ kim này giúp bạn an tâm hơn về hiệu quả sử dụng và đảm bảo công việc liên quan đến hồ sơ, giấy tờ nhẹ nhàng hơn. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",5,11,https://salt.tikicdn.com/ts/product/76/95/74/2c9fbaef54e356efae9f326cacb10660.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/76/95/74/2c9fbaef54e356efae9f326cacb10660.jpg,https://salt.tikicdn.com/cache/w300/ts/product/76/95/74/2c9fbaef54e356efae9f326cacb10660.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/76/95/74/2c9fbaef54e356efae9f326cacb10660.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/76/95/74/2c9fbaef54e356efae9f326cacb10660.jpg,1000,11
1955267,Gỡ kim Deli 0232,26000,"Gỡ Kim 232 Deli có thiết kế nhỏ gọn và tiện lợi, có thể dùng trong văn phòng công ty, trường họ Phần tay cầm được làm từ nhựa chắc chắn, mũi gỡ được làm từ thép không gỉ cứng cáp, bền đẹp. Sản phẩm ...","Gỡ Kim 232 Deli có thiết kế nhỏ gọn và tiện lợi, có thể dùng trong văn phòng công ty, trường họ Phần tay cầm được làm từ nhựa chắc chắn, mũi gỡ được làm từ thép không gỉ cứng cáp, bền đẹp. Sản phẩm giúp bạn gỡ kim được nhanh chóng, dễ dàng và chính xác hơn. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",0,0,https://salt.tikicdn.com/ts/product/5e/2e/cc/2735bbeb61b93aed9f5e7597bc9d9be3.jpg,https://salt.tikicdn.com/cache/w1200/ts/product/5e/2e/cc/2735bbeb61b93aed9f5e7597bc9d9be3.jpg,https://salt.tikicdn.com/cache/w300/ts/product/5e/2e/cc/2735bbeb61b93aed9f5e7597bc9d9be3.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/5e/2e/cc/2735bbeb61b93aed9f5e7597bc9d9be3.jpg,https://salt.tikicdn.com/cache/200x280/ts/product/5e/2e/cc/2735bbeb61b93aed9f5e7597bc9d9be3.jpg,1000,0
