customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
15544559,3324647,,75898,Kệ Văn Phòng HTD,3,,,2024-11-20 08:12:28+00:00,2024-11-27 08:59:13+00:00,20039109
27829772,3324647,,140258,vpp chợ lớn,2,,,2022-07-20 09:43:45+00:00,2022-07-22 13:01:34+00:00,17162863
28271912,3324647,,75898,Kệ Văn Phòng HTD,3,,,2024-02-17 08:27:03+00:00,2024-02-20 15:57:06+00:00,19775893
22736898,3324647,,140258,vpp chợ lớn,2,,,2022-02-13 11:39:08+00:00,2022-02-14 09:13:34+00:00,14956778
19675479,3324647,,140258,vpp chợ lớn,3,,,2021-11-20 11:57:50+00:00,2021-11-21 09:51:02+00:00,13341337
10720513,3324647,,140258,vpp chợ lớn,2,,,2022-02-19 01:14:31+00:00,2022-02-20 15:48:28+00:00,15053556
915979,3324647,,140258,vpp chợ lớn,3,,,2022-01-10 02:17:07+00:00,2022-01-12 09:30:24+00:00,14419817
10388702,3324647,,140258,vpp chợ lớn,4,,,2022-04-25 05:34:46+00:00,2022-04-27 08:22:36+00:00,16105930
6239064,3324647,,1,Tiki Trading,4,,,2019-10-03 08:22:46+00:00,2019-10-04 07:20:03+00:00,2514820
17472347,3324647,,140258,vpp chợ lớn,2,,,2022-04-20 02:04:49+00:00,2022-04-22 10:14:58+00:00,16037029
15550214,3324647,,171422,Van phong pham NBK,2,,,2022-06-28 02:33:58+00:00,2022-06-30 09:54:02+00:00,16917355
7633127,3324647,,140258,vpp chợ lớn,4,,,2021-05-03 12:46:26+00:00,2021-05-05 10:46:54+00:00,9506095
28048192,3324647,,75898,Kệ Văn Phòng HTD,4,,,2022-10-15 03:50:55+00:00,2022-10-18 10:39:40+00:00,17988697
2000971,3324647,,171392,Vpp Uyên Loan,3,,,2021-06-08 23:44:05+00:00,2021-06-09 09:41:36+00:00,10277952
915979,3324647,,171422,Van phong pham NBK,3,,,2021-12-13 01:42:50+00:00,2021-12-17 08:26:00+00:00,14140478
8297675,3324647,,1,Tiki Trading,2,,,2020-03-11 06:47:49+00:00,2020-03-14 10:50:10+00:00,3287665
6019302,3324647,,1,Tiki Trading,2,,,2020-10-25 04:32:04+00:00,2020-10-26 13:07:40+00:00,6150276
9155928,3324647,,1,Tiki Trading,2,,,2020-11-13 14:11:39+00:00,2020-11-15 10:06:04+00:00,5836988
745482,3324647,,171392,Vpp Uyên Loan,3,,,2021-03-24 01:19:57+00:00,2021-03-24 10:57:08+00:00,8768577
10493923,3324647,,171422,Van phong pham NBK,1,,,2021-06-09 05:10:01+00:00,2021-06-14 15:04:33+00:00,12116266
17142913,3324647,,179476,VPP Sài Gòn Vina,2,,,2021-07-04 14:02:17+00:00,2021-07-06 12:47:15+00:00,11990651
22650205,3324647,,171422,Van phong pham NBK,2,,,2021-08-09 04:40:51+00:00,2021-08-13 10:32:58+00:00,11886541
11191332,3324647,,140258,vpp chợ lớn,4,,,2021-06-04 18:18:36+00:00,2021-06-06 12:52:29+00:00,10231130
6318616,3324647,,171392,Vpp Uyên Loan,4,,,2021-03-26 08:03:52+00:00,2021-03-29 10:35:09+00:00,10200039
9981162,3324647,,171392,Vpp Uyên Loan,3,,,2021-06-16 06:03:45+00:00,2021-06-16 14:32:37+00:00,10838187
18854426,3324647,,1,Tiki Trading,3,,,2021-01-27 07:18:36+00:00,2021-01-28 07:49:33+00:00,8215637
321959,3324647,,4405,MICA SAO MAI,3,,,2019-02-21 09:58:40+00:00,2019-02-22 08:41:27+00:00,2078867
8822462,3324647,,171422,Van phong pham NBK,3,,,2021-05-11 09:31:01+00:00,2021-05-12 13:31:37+00:00,9707281
9130539,3324647,,171392,Vpp Uyên Loan,4,,,2021-05-07 22:16:38+00:00,2021-05-10 14:33:11+00:00,9688436
