id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,seller_id,seller_name,delivery_rating
20039109,15544559,3324647,5,Cực kì hài lòng,"hàng tốt, shop nhiệt tình và trách nhiệm",approved,0,0,[],75898,Kệ Văn Phòng HTD,[]
17162863,27829772,3324647,1,Rất không hài lòng,lac ban goi lai minh trao doi một chút nha ***,approved,0,0,"[{'id': 3716774, 'full_path': 'https://salt.tikicdn.com/ts/review/21/ea/95/072ddea164550abd1ae3e7928dac098e.jpg', 'status': 'approved'}, {'id': 3716775, 'full_path': 'https://salt.tikicdn.com/ts/review/d2/b4/7f/10d6fc06eda0cbdac7142eee73814333.jpg', 'status': 'approved'}, {'id': 3716776, 'full_path': 'https://salt.tikicdn.com/ts/review/58/02/ea/f676f2cb790c59ca4d541be386754f88.jpg', 'status': 'approved'}, {'id': 3716777, 'full_path': 'https://salt.tikicdn.com/ts/review/0c/e7/db/feba4ecac807036dd03bca1410d7bcbc.jpg', 'status': 'approved'}, {'id': 3716778, 'full_path': 'https://salt.tikicdn.com/ts/review/2a/9d/c9/30877896c49b5d736749a667126cc33e.jpg', 'status': 'approved'}]",140258,vpp chợ lớn,[]
19775893,28271912,3324647,2,Không hài lòng,Hàng trày và nứt 2 bên góc.,approved,0,1,"[{'id': 4338197, 'full_path': 'https://salt.tikicdn.com/ts/review/dc/0b/6e/b7bbe57b362a7b87c2b103cbace202d2.jpg', 'status': 'approved'}]",75898,Kệ Văn Phòng HTD,[]
14956778,22736898,3324647,3,Bình thường,"chua bgio thay tiki khi giao bat ky ten chup hinh, tu nhien khi giao cái này thi kiu ky ten chụp hinh .Lúc mo ra thi đã bể,kg hieu la shop lam an bay ba hauly ong GH??",approved,0,0,[],140258,vpp chợ lớn,[]
13341337,19675479,3324647,1,Rất không hài lòng,giao hàng mà không được kiểm tra kết quả là nó bị bể giờ phải làm sao???,approved,0,0,"[{'id': 2783737, 'full_path': 'https://salt.tikicdn.com/ts/review/6e/2d/a6/2aa81f21dd2eb876bfd576b815bc0513.jpg', 'status': 'approved'}, {'id': 2783738, 'full_path': 'https://salt.tikicdn.com/ts/review/b6/08/e0/98f25dd33df0a265f4bc7ac06e8c932d.jpg', 'status': 'approved'}]",140258,vpp chợ lớn,[]
15053556,10720513,3324647,1,Rất không hài lòng,"Hàng đóng gói không cẩn thận , Kệ giao khui ra bị bể,",approved,0,0,"[{'id': 3150954, 'full_path': 'https://salt.tikicdn.com/ts/review/da/a5/c6/50e5b0e6c03f45b19716e0eb54cb1ddd.jpg', 'status': 'approved'}, {'id': 3150955, 'full_path': 'https://salt.tikicdn.com/ts/review/da/a5/c6/89f07cc59c8f7b9ea17811c8772003d3.jpg', 'status': 'approved'}]",140258,vpp chợ lớn,[]
14419817,915979,3324647,1,Rất không hài lòng,"đóng gói không cẩn thận, nhận về kệ bị vỡ và nứt",approved,0,1,"[{'id': 3018096, 'full_path': 'https://salt.tikicdn.com/ts/review/f3/e7/d8/72fb42d81a20ef8218539cbc2a5e885e.jpg', 'status': 'approved'}, {'id': 3018097, 'full_path': 'https://salt.tikicdn.com/ts/review/a2/c7/17/15947f7d6d86c9a4fa29f468af97ee24.jpg', 'status': 'approved'}]",140258,vpp chợ lớn,[]
16105930,10388702,3324647,1,Rất không hài lòng,Khui thùng ra kệ bị gãy trong quá trình vận chuyển,approved,0,1,"[{'id': 3414388, 'full_path': 'https://salt.tikicdn.com/ts/review/2f/99/93/96788cfc9a45d270b860f015452889f9.jpg', 'status': 'approved'}]",140258,vpp chợ lớn,[]
2514820,6239064,3324647,5,"Hàng chất lượng tốt, nhựa trong, kiểu dáng y hình, hài lòng","Qủa là Tiki không bao giờ làm mình thất vọng về chất lượng dịch vụ. Giao hàng nhanh trong 2h (miễn phí) rất thuận tiện cho mình do công ty mình đang cần gấp. Anh shipper nhiệt tình, thân thiện cho kiểm tra hàng trước khi thanh toán. Tiki có xuất VAT điện tử, nhanh chóng, thuận tiện thanh toán tiền xong là có VAT gửi vào *** liền. Gía tiền tầm 200k thì mình không biêt có mắc không do mình cũng chưa mua sản phẩm này bao giờ nhưng chất lượng sản phẩm và dịch vụ của Tiki thì rất tôt",approved,1,0,[],1,Tiki Trading,[]
16037029,17472347,3324647,3,Bình thường,hàng đẹp nhưng bị hư hết do vận chuyển,approved,0,0,"[{'id': 3394017, 'full_path': 'https://salt.tikicdn.com/ts/review/2a/63/04/0eef5f040e861d84cacdef8c659937d8.jpg', 'status': 'approved'}]",140258,vpp chợ lớn,[]
16917355,15550214,3324647,5,Cực kì hài lòng,"Rất ưng ý, gói hàng cẩn thận.",approved,0,0,[],171422,Van phong pham NBK,[]
9506095,7633127,3324647,1,Rất không hài lòng,hàng giao bị bễ yêu cầu đổi lại sản phẩm khác,approved,0,0,"[{'id': 1923429, 'full_path': 'https://salt.tikicdn.com/ts/review/95/85/41/5d1437cc883be8c0e52fd2d642905594.jpg', 'status': 'approved'}, {'id': 1923430, 'full_path': 'https://salt.tikicdn.com/ts/review/72/87/08/6b395dcb4291bcfbb77f5e26874cea1f.jpg', 'status': 'approved'}]",140258,vpp chợ lớn,[]
17988697,28048192,3324647,5,Cực kì hài lòng,,approved,0,0,[],75898,Kệ Văn Phòng HTD,[]
10277952,2000971,3324647,5,Cực kì hài lòng,"Hàng đẹp và chắc chắn, đóng gói kĩ lưỡng",approved,0,0,"[{'id': 2097745, 'full_path': 'https://salt.tikicdn.com/ts/review/03/95/4b/778fd9fc94c47684cbe2456d9961b2bc.jpg', 'status': 'approved'}]",171392,Vpp Uyên Loan,[]
14140478,915979,3324647,5,Cực kì hài lòng,,approved,0,0,[],171422,Van phong pham NBK,[]
3287665,8297675,3324647,5,Tốt,"Hàng đúng như hình, đóng gói kĩ, đựng vừa y giấy A4 nhưng nếu giấy A4 có ép plastic thì để không vừa kệ. Nói chung khá vừa ý kệ☺️",approved,1,0,[],1,Tiki Trading,[]
6150276,6019302,3324647,5,Cực kì hài lòng,kệ đựng ok. hợp với nvvp cần lưu trữ ít,approved,0,0,"[{'id': 1366662, 'full_path': 'https://salt.tikicdn.com/ts/review/2a/48/e0/088852a85b5a699edc79cc68d7917214.jpg', 'status': 'approved'}]",1,Tiki Trading,[]
5836988,9155928,3324647,4,Hài lòng,hàng đẹp. Nếu vệ sinh và hoàn thiện sạch sẻ  sẽ được 5 sao,approved,0,0,[],1,Tiki Trading,[]
8768577,745482,3324647,5,Cực kì hài lòng,,approved,0,0,"[{'id': 1768802, 'full_path': 'https://salt.tikicdn.com/ts/review/56/9f/e7/66de5d5e771e6ce0caff44f15328b32b.jpg', 'status': 'approved'}]",171392,Vpp Uyên Loan,[]
12116266,10493923,3324647,5,Cực kì hài lòng,,approved,0,0,[],171422,Van phong pham NBK,[]
11990651,17142913,3324647,5,Cực kì hài lòng,,approved,0,0,[],179476,VPP Sài Gòn Vina,[]
11886541,22650205,3324647,5,Cực kì hài lòng,,approved,0,0,[],171422,Van phong pham NBK,[]
10231130,11191332,3324647,5,Cực kì hài lòng,như hình tốt,approved,0,0,[],140258,vpp chợ lớn,[]
10200039,6318616,3324647,5,Cực kì hài lòng,Tiện lợi,approved,0,0,[],171392,Vpp Uyên Loan,[]
10838187,9981162,3324647,5,Cực kì hài lòng,,approved,0,0,[],171392,Vpp Uyên Loan,[]
8215637,18854426,3324647,4,Hài lòng,rất hài long ship nhanh,approved,0,0,[],1,Tiki Trading,[]
2078867,321959,3324647,5,Chất lượng tốt tuy nhiên không giống hình mô tả,"Chất lượng tốt, keo dính không bể, gãy, trong suốt nên nhìn khá sang, để tờ rơi gọn gàng, ngăn nắp hơn",approved,0,0,"[{'id': 384419, 'full_path': 'https://salt.tikicdn.com/ts/review/bf/34/7c/dcb442b997c066575b7e810d36ed5f07.jpg', 'status': 'approved'}, {'id': 384420, 'full_path': 'https://salt.tikicdn.com/ts/review/78/b4/a9/be2d9ea4537bba24df8602a3ed105835.jpg', 'status': 'approved'}]",4405,MICA SAO MAI,[]
9707281,8822462,3324647,5,Cực kì hài lòng,,approved,0,0,[],171422,Van phong pham NBK,[]
9688436,9130539,3324647,5,Cực kì hài lòng,,approved,0,0,[],171392,Vpp Uyên Loan,[]
9487245,9130539,3324647,5,Cực kì hài lòng,,approved,0,0,[],179476,VPP Sài Gòn Vina,[]
2898264,1725130,3324647,5,Kệ nhiều giấy mica,"Kệ đẹp, đóng gói cẩn thận, rất hài lòng với sản phẩm này.",approved,0,0,"[{'id': 770591, 'full_path': 'https://salt.tikicdn.com/ts/review/a1/c3/9a/f90f3d965aae41e5310bf9a7e1f187b5.jpg', 'status': 'approved'}]",1,Tiki Trading,[]
5722008,9812083,3324647,5,Cực kì hài lòng,cứng cáp tốt. đóng gói kĩ,approved,0,0,[],1,Tiki Trading,[]
8700318,11626617,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
8521196,10878034,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
8377011,214198,3324647,5,Cực kì hài lòng,P,approved,0,0,[],1,Tiki Trading,[]
8450151,1517761,3324647,5,Cực kì hài lòng,,approved,0,1,[],171422,Van phong pham NBK,[]
8217966,9130539,3324647,5,Cực kì hài lòng,,approved,0,0,[],140258,vpp chợ lớn,[]
8092524,15769364,3324647,4,Hài lòng,,approved,0,0,[],1,Tiki Trading,[]
5022308,11508833,3324647,5,Cực kì hài lòng,"Giao nhanh, hàng đẹp như mô tả",approved,0,0,[],1,Tiki Trading,[]
7601002,332392,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
7337417,9659241,3324647,3,Bình thường,,approved,0,0,[],1,Tiki Trading,[]
7074535,12838336,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
3333791,13452681,3324647,5,Cực kì hài lòng,"Hài lòng về hàng, và thái độ phục vụ, giải quyết nhanh chóng",approved,0,0,[],1,Tiki Trading,[]
2949150,7939000,3324647,4,Hài lòng,"kệ đẹp trong, chắn chắn, nhưng để đc it tài liệu, đóng gói cẩn thận",approved,0,0,[],1,Tiki Trading,[]
6488694,15715442,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
6140936,1868623,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
5716728,13566101,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
5645686,454992,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
3391657,23643,3324647,1,Giao không đúng loại,Mua kệ 3 ngăn và giao kệ 2 ngănnnnnnnnnnnnnnnnnnnnnn,approved,0,1,[],1,Tiki Trading,[]
5459391,14024876,3324647,5,Cực kì hài lòng,,approved,0,0,[],1,Tiki Trading,[]
9918959,12923725,3324561,5,Cực kì hài lòng,"Gọn nhẹ
Nhiều tầng
Giấy tờ ngăn nắp hơn",approved,0,0,"[{'id': 2134453, 'full_path': 'https://salt.tikicdn.com/ts/review/c6/93/3a/4778459b3a6643a60611b65fb6f6720e.jpg', 'status': 'approved'}]",1,Tiki Trading,[]
